EMPRESA,NOME COMERCIAL,SUBSTÂNCIA ACTIVA,DOSAGEM,FORMA,APRESENTAÇÃO
AFRI FARMÁCIA LDA,SALBUTAMOL,"Salbutamol, Sulfato",2mg,Comprimidos,EMBALAGEM 100 COMP(2x5x10)
AFRI FARMÁCIA LDA,MEBENDAZOL,Mebendazol,100mg,Comprimidos,EMBALAGEM 100 COMP Blisters (10x10)
AFRI FARMÁCIA LDA,CLAVOMID 625,Amoxicilina + Ácido Clavulânico,500mg + 125mg,Comprimidos,1 Blister de 20 comp e 2 x 10´s
AFRI FARMÁCIA LDA,CLAVOMID 375,Amoxicilina + Ácido Clavulânico,375mg,Comprimidos,1 Blister de 20 comp e 2 x 10´s
AFRI FARMÁCIA LDA,CIMET-400,Cimetidina,400mg,Comprimidos,EMBALAGEM 100 COMP Blisters (10x10)
AFRI FARMÁCIA LDA,CIMET-200,Cimetidina,200mg,Comprimidos,EMBALAGEM 100 COMP Blisters (10x10)
AFRI FARMÁCIA LDA,SALBUTAMOL,"Salbutamol, Sulfato",4mg,Comprimidos,EMBALAGEM 100 COMP(2x5x10)
"GENERICS & SPECIALITIES, Lda",RINGER LACTATE SOLUTION FOR INJECTION,Lactato de Sódio Composto Bp,0.240g + 0.115g + 0.600g,Solução Injectável,Frasco de 500ml
"GENERICS & SPECIALITIES, Lda",HYGEN,Hidroclorotiazida,50mg,Comprimidos,"Embalagem 10X10, 500"
"GENERICS & SPECIALITIES, Lda",AMILOGEN,"Amilorido, Hidrocloreto",5mg,Comprimidos,Embalagem 10X10 de 500 e 1000 cáps
AFRI FARMÁCIA LDA,UMERAN-75,Diclofenac sódico,75mg/3ml,Injectável,100 Ampolas (10x10)
AFRI FARMÁCIA LDA,CYCLOVAX-400,Aciclovir,400mg,Comprimidos,EMBALAGEM DE 100 COMP(10x10) e de 1 x 10
AFRI FARMÁCIA LDA,CYCLOVAX-200,Aciclovir,200mg,Comprimido,EMBALAGEM DE 100 COMP(10x10) e de 3 x 10
"GENERICS & SPECIALITIES, Lda",MODUGEN,Amilorido Hidrocloreto + Hidroclortiazida,5mg+50mg,Comprimidos,Embalagem 10X10 de 500 e 1000 cáps
"GENERICS & SPECIALITIES, Lda",EFAVIRENZ 600,Efavirenz,600mg,Comprimidos Revestidos,Frasco de 30 comprimidos
"GENERICS & SPECIALITIES, Lda",GENDOX,Doxiciclina,100mg,Cápsulas,Embalagem 10X10
AFRI FARMÁCIA LDA,LOKIT,Omeprazol,20mg,Cápsulas,EMBALAGEM 100 CÁPS(10x10)
AFRI FARMÁCIA LDA,CIAVITA,Tiamina (Vit. B1) + Riboflavina (Vit. B2) + Nicotinamida,"1,2mg + 1,2mg + 17,25mg",Comprimidos,EMBALAGEM 100 COMP
"GENERICS & SPECIALITIES, Lda",GENDOL S,Paracetamol,125mg/5ml,Suspensão Oral,"Embalagem contendo frasco ambar, PET de 100ml"
"GENERICS & SPECIALITIES, Lda",SPASGEN,"Butilescopolamina,Brometo BP 10mg",10mg,Comprimido revestido,"embalagens de 500 e de 1000 comprimidos, 10x2 comprimidos, 10x10 comprimidos"
"GENERICS & SPECIALITIES, Lda",CLAVUGEN-625,Amoxicilina + Clavulanato de Potássio,500mg + 125mg,Comprimidos,2x10 blisters
AFRI FARMÁCIA LDA,ERGAGIN,"Metilergometrina, maleato",0.2mg/ml,Solução Injectável,10 ampolas de 1ml
"GENERICS & SPECIALITIES, Lda",GENSONE,Prednisolona,5mg,Comprimidos,embalagem de 10X10
"GENERICS & SPECIALITIES, Lda",CIPROGEN,Ciprofloxacina,500mg,Comprimidos Revestidos,Blisters de 10x10
"GENERICS & SPECIALITIES, Lda",CLAVUGEN-156.25MG DRY SYRUP,Amoxicilina + Clavulato de Potássio,125mg/5ml + 31.25mg/5ml,Pó para Suspensão Oral,
AFRI FARMÁCIA LDA,MUCO ASTHALIN,Salbutamol + Bromexina + Mentol,2mg/5ml + 4mg/5ml + 1mg / 5ml,Xarope,Frasco de 100ml
"GENERICS & SPECIALITIES, Lda",KONTRAC -200,Misoprostol,200mcg,Comprimidos,1 blister de 2 comprimidos e 10x10
"GENERICS & SPECIALITIES, Lda",FOURTS B CÁPSULES,"Tiamina ,Nitrato + Riboflamina + Piridoxina, Hidrocloreto +Nicotinamida+ácido ascórbico+Monohidrato de sulfato de zinco+ Cloreto de crómio+ Selenite de Sódio+ Colec alciferol+Acetil  cesteina+Glicina+ácido glutâmico+ ácido Fólico",12.5mg + 11.5mg + 3.45mg + 54mg + 84.75mg + 55mg + 1.025mg + 0.22mg + 0.24mg + 0.02mg + 25.62mg + 25mg + 27mg + 1.30mg,Cápsulas,embalagem de 3X10
AFRI FARMÁCIA LDA,OVA - MIT,Clomifene,50mg,Comprimidos,1blister de 10 comprimidos
AFRI FARMÁCIA LDA,NIFELAT R,Nifedipina,20mg,Comprimidos,10 x10 comp
AFRI FARMÁCIA LDA,MILOREX,"Amilorido, hidrocloreto anidro + Hidroclortiazida",5mg + 50mg,Comprimidos,3 x 10
AFRI FARMÁCIA LDA,METHYLDOPA-250,Metildopa,250mg,Comprimidos,10 x 10
